patent_number,text,promising
9959385,access algorithm care communication computer embodiment entity health healthcare message part process provider system transmission user,1
9075869,access analysis collection engine file health healthcare intervention management method person process processing rule source step system use,1
10120977,access base communication device embodiment facility healthcare information location management patient perform procedure provider record secure security server site system,0
10456078,activity analysis care device display health motion risk sensor system user,0
10535995,activity amount apparatus control detection determination determine device display environment healthcare instruction instrument measure measurement memory power result system unit,0
9456958,access device embodiment healthcare identity monitoring network notification report system tag time transmit,1
10719222,display engine healthcare medication method patient portion position provider system text tool,0
10438149,care comparison computer delivery determine disclosure embodiment health healthcare information medium patient process result screen system time value,0
10366205,communication control device hand health management monitoring patient plurality processor sensor service sign station system unit,0
9779407,agent change computer control diagnosis group healthcare instruction network parameter point prescription product provider rule service software target time treatment,1
10685413,account communication contact content example healthcare information list medication message method notification party plan response source system text user,0
8745413,care data form health healthcare information message query record result search segment system value,0
11144825,care combination health healthcare information machine method model network prediction processor result training,0
8781852,attribute care collection field form health invention location object request store system user,0
8902278,device embodiment facility health healthcare information level map method network patient plan plurality region representation room system user view,1
9268912,care combination communication content control drug entity facility health item machine management memory part pharmacy prescription site system user,1
9953181,access code computer healthcare identification information instruction item location medium method plurality secure security sequence storage system time user,1
9824184,healthcare interface method object platform representation rule sensor system type,1
9846525,access control device facility interaction location management user wireless,0
9642529,area care condition device health indicator measurement movement network notification output power processing sensor sign source status storage system transmit user,1
10095835,analysis apparatus healthcare management network system,1
10255996,condition display effect example healthcare indication information method operation processing provide request response system transaction,1
11087888,area communication criterion database disease facility healthcare identification information instruction location map medium method mode node object perform person processor storage store system tag time transmission,0
9729833,alert determine display hand healthcare measure method monitor monitoring notification patient person remote room service step system video,1
10315851,administration apparatus area device distribution embodiment facility healthcare location medication method patient person pharmacy storage system unit,0
10692592,association computer healthcare medium method node platform processing service source storage store system term,0
8783566,access camera control form healthcare image information invention model prescription request screen service use,0
8688468,computer dosage healthcare information method part patient product provider system transaction,1
10586622,care disclosure health healthcare information management method network outcome patient provider relationship system,0
10770176,attribute control display health healthcare list measure method relationship system tool value,0
10319469,accordance change computer delivery healthcare location medium method node processing record rule source system type use,0
8209194,data end healthcare management method network part party patient process profile provider service system,0
11037676,association component computer determine device embodiment entity facility healthcare information location management medium patient system time,0
11200985,collection computer database document frequency healthcare level method parameter product program search study system term,0
10842378,analysis application care computer device diagnosis examination function health healthcare invention model multi perform pharmacy point prescription provide server service state system use,0
9947061,account amount device healthcare information management message network prescription procedure protocol provider state system transaction value,0
10512401,alarm alert care communication computer condition form image message method patient profile provide secure system text time,0
9727937,access area care computer determination embodiment health information invention patient provider record secure system,0
8327020,comparison computer healthcare identifier method part request source system transaction value,1
10529446,care communication determine device health management mechanism monitoring output patient plan result session system,1
10923231,accordance assessment care condition health information mechanism patient plurality selection sequence,1
11107561,alert algorithm caregiver comparison database device feedback generate healthcare method model notification period person platform protocol server store system time view,0
9881024,application camera care comparison condition database determination device evaluation health healthcare image indication method object patient plurality processor result,0
10127359,action aspect computer display embodiment engine healthcare input invention medium parameter patient population provide representation request system vector,0
10373712,access computer cost healthcare management medium method processing source storage store system term type,0
8633816,area condition contact control item location method monitoring patient room store system,1
10497475,communication device health healthcare model monitoring sensor service signal technology,0
10780023,computer healthcare management medium service system,0
10912519,combination device display health healthcare machine method processing server system training,0
8666771,analysis area care configuration database display facility health healthcare image location map monitor output plurality population protocol representation service set store system tool video,0
11205510,access aspect connection device embodiment facility healthcare level location management method network region representation rule system tool user view,0
11080793,analysis claim decision group healthcare machine management method model profile provider request result,0
8244556,field healthcare information method part plurality system transaction,1
10102340,claim decision healthcare method processing support system,0
9830423,body care communication device health healthcare part patient platform processor signal state storage store system value,1
10509890,communication component database detection device engine healthcare information interface plurality process rule secure,0
9785749,apparatus care condition database engine feature feedback health healthcare interface list machine model provider search term text training treatment user,0
11049618,data environment healthcare information management module plurality processing source system use,0
10025901,client device healthcare identification image record reference service system video,0
9460392,environment healthcare information management method module plurality processing source system,1
10621491,event healthcare method monitoring network patient risk score sign,0
10320903,capture care case communication content cost decision delivery disclosure healthcare management medium model platform product provider secure software store system tool use user value video,0
11017897,device health healthcare identifier location management method network object record sensor system type use,0
10955995,amount area care change compliance device display emergency event field image indicator information interface management method protocol system task text time user view,0
10423759,assistance comparison determination determine healthcare method product record request response service system time transaction,0
11069437,computer end healthcare information message patient procedure provider server service system,0
9317659,area computer condition health healthcare list management monitoring operation procedure risk sensor system,1
10546102,data decision engine factor generate healthcare item list mechanism model patient probability processing recommendation record risk score system,0
8548839,care communication computer cost event health healthcare management method patient service system,0
11107562,area care device example health machine patient provider service technique,0
10380497,dataset distribution healthcare input method model number parameter range system value,0
11176945,algorithm command communication condition context control device engine environment feedback healthcare input instruction instrument language machine method model monitor notification part process processor response state system user,0
10936160,application area care classification disease display health image interface machine method model prediction region result risk sample score state system tool user,0
10847263,detection device drug environment facility healthcare order system transmission,0
10892045,agent analysis configuration device environment healthcare hospital monitor patient platform program server software source system time,0
10405745,camera care circuitry command communication component computer control delivery detector device entity health instruction interface mechanism monitoring motion network party patient provide source system user video,0
10650928,algorithm application communication computer database device healthcare machine model module network outcome prediction support user,1
10762984,entity entry healthcare identifier index method patient query storage system,0
10446271,healthcare method operation plurality processing source time,0
10311352,communication condition configuration control controller device example generate healthcare information instruction interface memory method mode operation plurality process processor system transmit,1
10204211,action communication computer condition embodiment flow health healthcare imaging level monitoring network operation rule service value,1
10832803,analysis application communication health healthcare language machine medium method patient processor provider software system text tool,0
10171935,action application client computer determination device healthcare identifier information medium method perform service system wireless,1
10991053,computer cost database device event generation group healthcare machine module plan prediction source store system technology term,0
10152608,access alert detection facility field generate healthcare information method risk score system time user,0
11030874,computer detection determine facility healthcare identification location monitor monitoring patient system tag time,0
11157808,application assessment code healthcare module network system,0
10121356,action compliance display facility feature hand healthcare indication invention pressure system user,0
10803985,access criterion facility healthcare method plurality provide request selection study,0
11195128,condition cost embodiment emergency entity factor feature generate healthcare information method model number patient provider record relationship service source system,0
11087423,event healthcare method system,0
10931437,access embodiment entity healthcare information method multi response security system time transaction,0
10834549,application body candidate communication computer condition determine device event health healthcare information level measure method monitoring node plurality range selection sensor system,0
10768811,application device display entry healthcare input interface item method selection software text,0
10839943,context device healthcare information interest list method number provider question server system,0
8825568,apparatus care element embodiment feedback generate health input method prediction processor rule set system time transmission,0
10410187,engine entity healthcare information interface management network plurality processing provider service system transaction,0
11080423,apparatus area basis identification level method process record sample system value,0
10586298,administration care compliance criterion health healthcare measure member method patient population source treatment,0
11164671,case cloud comparison compliance component element event healthcare instruction mechanism memory model network processing processor property resource rule state system test,0
10541047,communication distribution document end environment health healthcare information message notification provider record secure service user,0
10943691,action analysis cost data display healthcare model plurality representation result source,0
9177109,care facility health healthcare information management method patient protocol rule,0
9805166,blood cell cost diagnosis element health healthcare invention management method monitoring patient software store support system test treatment,1
8745721,access care health healthcare network number patient provider record system,0
10790049,care database field health method patient plurality processor record score system,0
8335672,claim computer determination healthcare identification information method part patient processor provider system transaction,0
11049592,accordance activity adherence amount comparison determination determine example healthcare message method number period plurality response result system time unit user value,0
8781854,action analysis association claim computer determination healthcare identification information method prescription processor provider risk system transaction use,1
10719581,account amount claim cost healthcare information management method patient portion provider service system,0
10596317,amount basis care condition device health information injection mechanism method system use,0
10706360,environment healthcare information operation plurality processing source system time,0
10162936,frame healthcare information item medium memory method number request secure time,0
11023946,diagnosis health healthcare indication information machine measure medium outcome portion processor product relationship source storage system treatment,0
10521555,analysis component healthcare image medium method record segment service storage system tag video,0
10467380,application care client communication device display health information method provider rate step system,0
10600508,area code communication device generate healthcare identification information input memory method patient processor provider system,0
10248763,delivery healthcare mechanism network order party patient pharmacy prescription process provider technique,0
10255622,claim data decision healthcare information method model order outcome pattern performance provider resource result service system task time value,0
9542530,computer disclosure healthcare information medium method record score search software system user,0
10559385,control healthcare map measurement method model number parameter patient space state system time,0
11151896,action care communication computer device healthcare method module patient provider report system technology wireless,0
11049594,amount claim code computer diagnosis document engine field file form generate healthcare management method module patient process record rule system text treatment,0
10156895,device health healthcare image information method projection reference state surface user,0
9672325,apparatus configuration healthcare information interface management method part provider request system transmission,0
10631783,method step system,0
10867324,cost healthcare input location method plurality program provider reference region service system,0
10332410,attribute change display healthcare method period portion sensor state system time user,0
10825554,condition feature healthcare hospital method model period plurality prediction query response search system time treatment user,0
11107563,application cause control entity file generation interface model module object request resource server support type,0
10748653,determination embodiment facility healthcare information invention location method notification selection system,0
11195599,action computer condition determine health healthcare method network patient perform product program provider record representation series source system,0
11182459,care cost delivery drug embodiment example factor function health healthcare index item modality outcome patient performance plurality processing provider quality record treatment,0
11188676,application communication computer device healthcare identification method network patient program server system user wireless,0
10311168,area aspect computer function healthcare location method pattern program space support system,0
10901980,care client database engine health instruction map mechanism memory plurality processing processor set source store structure system,0
9760680,accordance computer data field file healthcare method module portion product program system,0
10937531,computer healthcare method notification patient plan prescription provide provider record relationship system treatment,0
9536052,condition determine health information intervention model module monitoring notification number parameter patient plurality response risk score store system,1
10991457,application client criterion database determine device healthcare identification interface method number provider record request system transaction type user,0
9965590,communication computer cost diagnosis embodiment healthcare method number patient platform relationship system time treatment user,0
11182721,healthcare information report risk system,0
11004548,data element health healthcare indicator information invention measure method person record score set source system user,0
10521559,application delivery device embodiment end field healthcare information interface message method part procedure rule store system target time use user,0
10783992,care control determination health map provider system,0
10942987,analysis claim data database entity healthcare method relationship software support,0
10713694,claim computer healthcare information method part perform pharmacy platform prescription processor product provider response service system transaction transmit,0
10832810,compliance facility generate group healthcare location management network number order part platform position process profile provider service software system term,0
9964416,computer cost embodiment facility health healthcare information member method service source system user,0
11013418,computer controller determine device facility healthcare identification location memory module power server store system,0
10586019,account file healthcare information method process provider rule system transaction,0
10622100,application care client content effect field health healthcare invention part patient time tool,0
10622103,activity analysis care database device healthcare identification information location memory method processor property rule signal system time transmit video,0
9754336,action aspect base communication detection detector environment generate healthcare interface method movement notification response signal station system wireless,0
10580083,amount candidate claim computer cost facility healthcare hospital medium network order part party portion program provide provider service use,0
11157595,adherence alarm care communication feedback health medication patient provider result system technology,0
10660522,care data delivery embodiment generate health information network patient report system,1
8799197,algorithm apparatus base comparison data database decision input language method order processing result rule storage support system technique time,0
10468131,analysis apparatus device diagnosis emergency item method module population risk software system therapy,0
9147041,disease identifier interface intervention list method patient recommendation system target treatment user,1
10777321,action adherence care compliance computer condition delivery determination device information instruction method patient period protocol request result system time user,0
9710431,content element embodiment engine information language method model output plurality processing section system,0
8719945,application capture file health information management message method module request screen service support user view,1
11107015,access application database embodiment file health information object plurality processor record software source store structure system type user,0
9946843,action condition decision display event facility healthcare interest measurement patient probability range resource response signal support system,0
10777308,decision diagnosis health healthcare measure method quality record support system,1
9185202,alert assessment caregiver cause computer device information management medium method patient storage system,1
10496788,care condition determine display hospital information interface location management method model module monitoring patient plurality risk score sensor status store system tag time user,1
10311975,action activity aspect basis care caregiver client condition information management order question recommendation record risk rule score system,0
10832818,alarm association client combination device information interface location module notification parameter patient status system user value video view,1
9978165,aspect computer device location medium method monitor monitoring selection storage system unit,0
11004545,activity combination communication computer condition effect instruction method perform product program substance tool,0
11056229,care decision embodiment example health information invention knowledge medium patient plan provide provider quality service support system test use,0
9361076,document information method store system,1
10628553,computer data embodiment health healthcare information knowledge language medium patient plurality processing record source system,1
9536053,adherence compliance determine dosage health intervention medication method notification patient processing system term time value,1
10755369,access action client collection delivery form management model module notification plurality program provider question report response service store structure system tool,0
10638999,client computer connection control database device file generate module network plurality query record sensor signal state system,0
11089959,care computer data delivery disease embodiment generate health information method network patient report,0
9460264,collection comparison computer device embodiment health healthcare indicator method part process status subject system,0
10643750,assessment care caregiver diagnosis feedback health interface mechanism method provider record system value,0
10957442,application association computer embodiment evaluation generate generation healthcare image machine method model platform processor system technique training,0
8473315,communication detection drug event medication method network patient profile record risk,0
10248759,case criterion database diagnosis generation image method record reference region report search selection,1
11031129,alarm alert analysis computer display element engine interface method notification parameter plurality rule source system time tool user value,0
11195598,access device generate healthcare item memory network party patient processor rule system,0
10950350,care component computer determine disclosure embodiment example facility information intervention patient population risk score system,0
10915222,action care computer interface medium method multi storage system user,0
10664572,application care client condition determine device health indication information location output plurality program provider recommendation resource service system time,0
9659186,application container image indication machine medium method number portion request system use,0
9613445,attribute computer display information method patient processor rule system,1
11011266,condition distribution feature generate health information language machine medication patient probability processing provider quality relationship service technique term treatment,0
10867703,condition document embodiment health patient processor record rule system,0
11120897,care caregiver change disease example feedback health method provide system,0
10593426,camera capture care change condition detection determine hospital image location management method model module patient plurality presence response risk score sensor store system video,0
10483003,action assessment care caregiver computer condition context decision embodiment entity factor health information invention knowledge language medium patient point population process processing provider recommendation record risk sequence service source support system time treatment,1
10831863,document engine entity healthcare information input knowledge module object patient prediction risk system term,0
10628986,application change communication device embodiment information item network status system user,0
10325335,device event health identification information interaction method output patient plurality process processor provider record system,1
8847767,alarm basis care collection generation health hospital information management method module patient record reference rule server service state system,1
10607728,alert candidate system user,1
10402782,apparatus command computer device display event information input medium method order patient portion program response screen storage system user,1
10878961,computer decision disease drug medication method patient support system,0
9280637,action computer device medium multi system,1
9326723,apparatus control detection determination determine device feature form information location method modality output pattern plurality result temperature value,0
10046113,amount combination dosage example information insulin method part patient recommendation system therapy,0
9904769,care condition decision emergency facility health healthcare input method parameter patient platform point process record service support system unit user,0
9946840,configuration determine indicator information level method outcome patient system,0
10861604,care cost embodiment end equipment form generate health information management measurement method monitor patient response sign system tool treatment video,0
8630874,access care condition criterion engine function health healthcare indication information instruction interface network party patient processor provider recommendation service set source time,0
9183720,device information input management memory module monitoring party patient request system,0
11139052,communication health healthcare information message order patient system,0
11082807,apparatus area detection example identification location message system,0
9076315,algorithm caregiver decision disease frame indication intervention management message monitoring patient protocol series system time,0
8751039,apparatus device embodiment health item memory population probability processing risk subject system term therapy,1
10658076,analysis communication decision method patient performance provider support system technique test time,0
10872685,client database information monitoring patient server system,1
9830205,action application change cloud computer display embodiment healthcare information instruction medium rule system target,1
