id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9323894-B2,Health care sanitation monitoring system ,Masimo Corporation,Massi Joe E. Kiani,2011-08-19,2012-08-17,2016-04-26,2016-04-26,https://patents.google.com/patent/US9323894B2/en,https://patentimages.storage.googleapis.com/a5/f8/d7/16bdbdda76af70/US09323894-20160426-D00000.png
US-8392219-B1,Systems and methods for streamlined patient enrollment for one or more healthcare programs ,Mckesson Financial Holdings Limited,"Roger Pinsonneault, Patrick Harris, SR.",2010-05-10,2010-05-10,2013-03-05,2013-03-05,https://patents.google.com/patent/US8392219B1/en,https://patentimages.storage.googleapis.com/bb/e4/0c/63292c50062955/US08392219-20130305-D00000.png
US-10482385-B2,Bayesian causal relationship network models for healthcare diagnosis and treatment based on patient data ,Berg Llc,"Niven Rajin Narain, Viatcheslav R. Akmaev, Vijetha VEMULAPALLI",2014-09-11,2015-09-11,2019-11-19,2019-11-19,https://patents.google.com/patent/US10482385B2/en,https://patentimages.storage.googleapis.com/73/07/26/db8e0b21f92ac0/US10482385-20191119-D00000.png
US-8930214-B2,Consolidated healthcare and resource management system ,"Parallax Enterprises, Llc",Jeffrey Scott Woolford,2011-06-17,2012-06-18,2015-01-06,2015-01-06,https://patents.google.com/patent/US8930214B2/en,https://patentimages.storage.googleapis.com/24/7e/57/b76dd444d67d45/US08930214-20150106-D00000.png
US-10380547-B2,Linkage of social network and healthcare data ,"Healthverity, Inc.",Andrew Kress,2014-05-01,2015-05-01,2019-08-13,2019-08-13,https://patents.google.com/patent/US10380547B2/en,https://patentimages.storage.googleapis.com/eb/e4/45/cdd2ac0cbdb0e0/US10380547-20190813-D00000.png
US-10453563-B2,Health care event matching ,Ims Health Technology Services Limited,David Powell,2014-11-14,2014-11-14,2019-10-22,2019-10-22,https://patents.google.com/patent/US10453563B2/en,https://patentimages.storage.googleapis.com/54/a8/d8/4b74122b6fa6b5/US10453563-20191022-D00000.png
US-10592501-B2,"Method, system and program for improved health care ",Seegnal eHealth Ltd.,Ron Zeev Shiloh,2011-03-10,2019-08-02,2020-03-17,2020-03-17,https://patents.google.com/patent/US10592501B2/en,https://patentimages.storage.googleapis.com/9a/64/d6/e266212fe2da1c/US10592501-20200317-D00000.png
US-11200966-B2,Healthcare system based on devices and wearables ,"Cerner Innovation, Inc.","Satya Krishna Pillarisetty, Krishna Kumar, Mahesh Vilas Kotekar, Pradeep Premakumar, Thampuraj Dharmamoorthy",2016-12-27,2016-12-28,2021-12-14,2021-12-14,https://patents.google.com/patent/US11200966B2/en,https://patentimages.storage.googleapis.com/5e/a8/47/5c26268bf1bdbc/US11200966-20211214-D00000.png
US-11043293-B1,Healthcare provider interface for treatment option and authorization ,Board Of Regents Of The University Of Nebraska,Stephen Salzbrenner,2017-12-07,2018-12-06,2021-06-22,2021-06-22,https://patents.google.com/patent/US11043293B1/en,https://patentimages.storage.googleapis.com/2d/4b/35/277cdb6e360b4e/US11043293-20210622-D00000.png
US-9710600-B1,Healthcare gap management system ,"Inovalon, Inc.","Keith R. DUNLEAVY, Daniel Rizzo",2014-10-17,2015-10-19,2017-07-18,2017-07-18,https://patents.google.com/patent/US9710600B1/en,https://patentimages.storage.googleapis.com/81/3d/18/9817255d221916/US09710600-20170718-D00000.png
US-9536049-B2,Conversational virtual healthcare assistant ,Next It Corporation,"Fred A. Brown, Mitchell G. Lawrence, Victor O'Brien Morrison",2012-09-07,2012-09-07,2017-01-03,2017-01-03,https://patents.google.com/patent/US9536049B2/en,https://patentimages.storage.googleapis.com/7d/3d/41/8e00d58ce2ec8c/US09536049-20170103-D00000.png
US-8515777-B1,System and method for efficient provision of healthcare ,ProcessProxy Corporation,Terry Rajasenan,2010-10-13,2011-10-12,2013-08-20,2013-08-20,https://patents.google.com/patent/US8515777B1/en,https://patentimages.storage.googleapis.com/81/37/e3/01f0ff6e6f699b/US08515777-20130820-D00000.png
US-11177031-B2,Healthcare network ,Siemens Healthcare Gmbh,"Lutz Dominick, Vladyslav Ukis",2017-09-19,2018-09-12,2021-11-16,2021-11-16,https://patents.google.com/patent/US11177031B2/en,https://patentimages.storage.googleapis.com/e8/a9/e5/f61135f861f7ee/US11177031-20211116-D00000.png
US-11295837-B2,Dynamic creation of overview messages in the healthcare sector ,Siemens Healthcare Gmbh,Patrick MANGESIUS,2017-05-11,2018-05-02,2022-04-05,2022-04-05,https://patents.google.com/patent/US11295837B2/en,https://patentimages.storage.googleapis.com/02/20/c1/3698dde62d93a7/US11295837-20220405-D00000.png
US-8825775-B2,Methods and apparatus to correlate healthcare information ,General Electric Company,"Wendy Lynne Bohner, David P. Murawski, Alan F. James, Niranjan Kumar Sharma",2011-02-21,2011-02-21,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825775B2/en,https://patentimages.storage.googleapis.com/ec/c2/09/66986e5c720073/US08825775-20140902-D00000.png
US-9996664-B2,Systems and methods for translating messages between a healthcare entity and a vendor entity ,"Redox, Inc.","James Lloyd, Christopher Tobin-Campbell, Andrew Kitson, Nicholas Hatt, Nijay Patel",2016-10-07,2016-10-07,2018-06-12,2018-06-12,https://patents.google.com/patent/US9996664B2/en,https://patentimages.storage.googleapis.com/6d/e4/1b/871d06a9838a95/US09996664-20180612-D00000.png
US-10600516-B2,Healthcare administration method for complex case and disease management ,"Advanced Healthcare Systems, Inc.",Richard Merkin,2012-12-12,2012-12-12,2020-03-24,2020-03-24,https://patents.google.com/patent/US10600516B2/en,https://patentimages.storage.googleapis.com/64/96/23/e86387bad31a2b/US10600516-20200324-D00000.png
US-11037659-B2,"Data-enriched electronic healthcare guidelines for analytics, visualization or clinical decision support ",Siemens Healthcare Gmbh,"Xiang Sean Zhou, Marcos Salganicoff",2015-04-28,2016-04-21,2021-06-15,2021-06-15,https://patents.google.com/patent/US11037659B2/en,https://patentimages.storage.googleapis.com/c6/54/db/fa8afa25ec3454/US11037659-20210615-D00000.png
US-9582641-B2,Distributed healthcare database system and method ,Eric Rock,Eric Rock,2013-03-26,2014-03-25,2017-02-28,2017-02-28,https://patents.google.com/patent/US9582641B2/en,https://patentimages.storage.googleapis.com/a5/c8/e5/38cb3b3c635c5e/US09582641-20170228-D00000.png
US-10318635-B2,Automated mapping of service codes in healthcare systems ,"Cerner Innovation, Inc.","Faisal Farooq, Farbod Rahmanian, Joseph Marcus Overhage, Glenn Fung, Shipeng Yu, Bharat R. Rao, Balaji Krishnapuram, Jan DeHaan",2012-09-28,2014-12-18,2019-06-11,2019-06-11,https://patents.google.com/patent/US10318635B2/en,https://patentimages.storage.googleapis.com/a2/b1/61/94d37cabb3aa2e/US10318635-20190611-D00000.png
US-8660857-B2,Method and system for outcome based referral using healthcare data of patient and physician populations ,International Business Machines Corporation,"Shahram Ebadollahi, Jianying Hu, Martin S. Kohn, Jonathan D. Laserson, Hani Neuvirth-Telem, Lavi Shpigelman, Robert K. Sorrentino",2010-10-27,2010-10-27,2014-02-25,2014-02-25,https://patents.google.com/patent/US8660857B2/en,https://patentimages.storage.googleapis.com/e2/16/a9/f1f20afcfe17c8/US08660857-20140225-D00000.png
US-11232411-B2,Integrated healthcare system ,Innovation Specialists Llc,Clinton Glen Phillips,2015-01-16,2016-01-19,2022-01-25,2022-01-25,https://patents.google.com/patent/US11232411B2/en,https://patentimages.storage.googleapis.com/40/37/31/6af2c4e1f4c842/US11232411-20220125-D00000.png
US-9846850-B2,Consolidation of healthcare-related schedules across disparate systems ,"Cerner Innovation, Inc.","Kristine Marie Nessa, Karen Ramsey, Bryan Muehlmeier, Susan Marie Stiles",2010-12-30,2010-12-30,2017-12-19,2017-12-19,https://patents.google.com/patent/US9846850B2/en,https://patentimages.storage.googleapis.com/35/2d/eb/d13eec3d34dfb8/US09846850-20171219-D00000.png
US-10943676-B2,Healthcare information technology system for predicting or preventing readmissions ,"Cerner Innovation, Inc.","Faisal Farooq, Balaji Krishnapuram, Bharat R Rao, Romer E Rosales, Shipeng Yu",2010-06-08,2014-03-26,2021-03-09,2021-03-09,https://patents.google.com/patent/US10943676B2/en,https://patentimages.storage.googleapis.com/1c/ed/5e/6305d3494b3d59/US10943676-20210309-D00000.png
US-10565315-B2,Automated mapping of service codes in healthcare systems ,"Cerner Innovation, Inc.","Faisal Farooq, Farbod Rahmanian, Joseph Marcus Overhage, Glenn Fung, Shipeng Yu, Bharat R. Rao, Balaji Krishnapuram, Jan DeHaan",2012-09-28,2019-05-10,2020-02-18,2020-02-18,https://patents.google.com/patent/US10565315B2/en,https://patentimages.storage.googleapis.com/0c/9e/5c/3a37fa6340965e/US10565315-20200218-D00000.png
US-8930471-B2,"Methods and systems for receiving, mapping and structuring data from disparate systems in a healthcare environment ",General Electric Company,"Wendy Lynne Bohner, Peng Xu, Jayabharatha Busireddy",2011-02-21,2011-06-28,2015-01-06,2015-01-06,https://patents.google.com/patent/US8930471B2/en,https://patentimages.storage.googleapis.com/28/cc/17/ee95e3f9f4495c/US08930471-20150106-D00000.png
US-11101044-B2,Uberization and decentralization of healthcare services ,Aganyan Inc.,"Hakop Aganyan, Suren Manukyan, Vagarshak Pilossyan, Leon K. Kiraj, Inga Aganyan, Silvia Aganyan",2018-02-06,2019-08-14,2021-08-24,2021-08-24,https://patents.google.com/patent/US11101044B2/en,https://patentimages.storage.googleapis.com/31/b0/ec/1d990fe89baa95/US11101044-20210824-D00000.png
US-11049617-B2,Method for transferring operational data to a medical device located within a healthcare environment ,Fresenius Vial Sas,Alaster Jones,2013-02-27,2014-02-24,2021-06-29,2021-06-29,https://patents.google.com/patent/US11049617B2/en,https://patentimages.storage.googleapis.com/ff/e9/a0/53afe1df4a71d7/US11049617-20210629-D00000.png
US-11315667-B2,Patient healthcare record templates ,Zoll Medical Corporation,"Rene Nelson, Benjamin Barnett, Keenan Early, Bala Rajesh, Justin M. Meredith",2018-08-13,2019-08-09,2022-04-26,2022-04-26,https://patents.google.com/patent/US11315667B2/en,https://patentimages.storage.googleapis.com/cd/39/bb/2a35ae2e41f055/US11315667-20220426-D00000.png
US-8321243-B1,Systems and methods for the intelligent coordination of benefits in healthcare transactions ,Mckesson Financial Holdings Limited,"Patrick Harris, SR., Roger Pinsonneault",2010-02-15,2010-02-15,2012-11-27,2012-11-27,https://patents.google.com/patent/US8321243B1/en,https://patentimages.storage.googleapis.com/90/be/6d/1e4984295d6051/US08321243-20121127-D00000.png
US-10650478-B2,Real-time aggregation and processing of healthcare records ,"Cerner Innovation, Inc.",Ryan Alan Brush,2012-04-27,2012-04-27,2020-05-12,2020-05-12,https://patents.google.com/patent/US10650478B2/en,https://patentimages.storage.googleapis.com/81/21/80/d53675c0bbe7ac/US10650478-20200512-D00000.png
US-10978197-B2,Healthcare workflows that bridge healthcare venues ,"Cerner Innovation, Inc.","Hugh H. Ryan, Frank Azzaro",2015-12-18,2016-12-16,2021-04-13,2021-04-13,https://patents.google.com/patent/US10978197B2/en,https://patentimages.storage.googleapis.com/4d/59/ba/4bfb9661a10159/US10978197-20210413-D00000.png
US-10510439-B2,System and method for processing healthcare information ,Upmc,"Brian J. Kolowitz, James J. Venturella, JR., Gonzalo Romero Lauro, Vivek Kotha Reddy, Christopher Ross Deible, Rasu Bickram K Shrestha, Veliyan Krasimirov Georgiev",2014-06-09,2014-06-09,2019-12-17,2019-12-17,https://patents.google.com/patent/US10510439B2/en,https://patentimages.storage.googleapis.com/e3/a0/23/d098546dce4180/US10510439-20191217-D00000.png
US-9934361-B2,Method for generating healthcare-related validated prediction models from multiple sources ,Univfy Inc.,"Mylene Yao, Wing H. Wong, Bokyung Choi",2011-09-30,2012-09-29,2018-04-03,2018-04-03,https://patents.google.com/patent/US9934361B2/en,https://patentimages.storage.googleapis.com/67/44/a5/5267f14baa8863/US09934361-20180403-D00000.png
US-10692589-B2,"?쏧ndima apparatus??system, method and computer program product for individualized and collaborative health care ",Martin Mueller-Wolf,Martin Mueller-Wolf,2012-01-20,2013-01-20,2020-06-23,2020-06-23,https://patents.google.com/patent/US10692589B2/en,https://patentimages.storage.googleapis.com/cd/86/96/64b21c0770638c/US10692589-20200623-D00000.png
US-10957451-B2,Patient healthcare interaction device and methods for implementing the same ,General Electric Company,"Satyanarayana T, Abraham Gogulamudi",2017-12-27,2018-03-02,2021-03-23,2021-03-23,https://patents.google.com/patent/US10957451B2/en,https://patentimages.storage.googleapis.com/7a/c8/35/d5b00d289d1f1f/US10957451-20210323-D00000.png
US-11056237-B2,System and method for determining and indicating value of healthcare ,"Health Value Analytics, Inc.","George Fidone, G. Edward Powell, Jr., Norman E. White, Van Marshall, Mark Lane, Brett M. Rader, Justin Craig Fidone, Michael Williams",2016-06-08,2018-02-08,2021-07-06,2021-07-06,https://patents.google.com/patent/US11056237B2/en,https://patentimages.storage.googleapis.com/d2/d7/db/c2d90fcad68278/US11056237-20210706-D00000.png
US-8630842-B2,Computerized selection for healthcare services ,Zeus Data Solutions,"Alan J. Sorkey, Steven Allen Conrad",2010-06-30,2010-06-30,2014-01-14,2014-01-14,https://patents.google.com/patent/US8630842B2/en,https://patentimages.storage.googleapis.com/af/a5/2f/c95eb274f0dc8a/US08630842-20140114-D00000.png
US-10957435-B2,Computer system and method for generating trigger alerts to maximize interactions with healthcare providers ,Astrazeneca Ab,Kishore Kumar,2017-08-25,2018-08-23,2021-03-23,2021-03-23,https://patents.google.com/patent/US10957435B2/en,https://patentimages.storage.googleapis.com/57/ae/b8/0dd7339ffc9f21/US10957435-20210323-D00000.png
US-10902090-B2,Methods and systems for remotely determining levels of healthcare interventions ,"Carepredict, Inc.",Satish Movva,2013-05-16,2017-09-13,2021-01-26,2021-01-26,https://patents.google.com/patent/US10902090B2/en,https://patentimages.storage.googleapis.com/cd/ac/49/181a4f2748bd26/US10902090-20210126-D00000.png
US-10691774-B2,Systems and methods for a comprehensive online health care platform ,"Cambia Health Solutions, Inc.","Alexander Thorpe, Nicole Cathcart, Sean Karbowicz",2015-03-30,2016-03-30,2020-06-23,2020-06-23,https://patents.google.com/patent/US10691774B2/en,https://patentimages.storage.googleapis.com/6c/8a/97/6462e10b401396/US10691774-20200623-D00000.png
US-8990834-B2,Managing healthcare information in a distributed system ,"Medicity, Inc.","Alok Mathur, James K. Lassetter, Andy Piccolo, Saurabh Mathur, Robert Connely",2010-10-22,2014-02-03,2015-03-24,2015-03-24,https://patents.google.com/patent/US8990834B2/en,https://patentimages.storage.googleapis.com/ec/bb/29/4546103389fefd/US08990834-20150324-D00000.png
US-8738398-B1,Methods and apparatus for improving healthcare ,"Symplmed Pharmaceuticals, LLC",Erik Emerson,2010-10-29,2011-10-28,2014-05-27,2014-05-27,https://patents.google.com/patent/US8738398B1/en,https://patentimages.storage.googleapis.com/e3/38/10/edf3e414293492/US08738398-20140527-D00000.png
US-11096577-B2,Proactive patient health care inference engines and systems ,"Nxgn Management, Llc","Robert Thompson Davis, III, Jennifer M. Coleman, David Christopher Greig, Christopher Harley Davidson",2010-11-03,2011-11-03,2021-08-24,2021-08-24,https://patents.google.com/patent/US11096577B2/en,https://patentimages.storage.googleapis.com/11/09/5b/427e732a8d025a/US11096577-20210824-D00000.png
US-11270027-B2,Systems and methods for de-identifying medical and healthcare data ,Medicom Technologies Inc.,"Michael Rosenberg, Malcolm Benitz, Jason Suttles, Chris Woodlief, Brent Goldstein",2018-11-06,2020-09-23,2022-03-08,2022-03-08,https://patents.google.com/patent/US11270027B2/en,https://patentimages.storage.googleapis.com/14/49/59/aae566d43100a7/US11270027-20220308-D00000.png
US-8996584-B2,Systems and methods for healthcare service delivery location relationship management ,General Electric Company,"Niranjan Sharma, Alan Ferris James, Douglas Adamson",2011-02-21,2012-02-21,2015-03-31,2015-03-31,https://patents.google.com/patent/US8996584B2/en,https://patentimages.storage.googleapis.com/a2/e8/22/7fdff61ae9171e/US08996584-20150331-D00000.png
US-10869601-B2,System and method for patient medical care initiation based on physiological monitoring data with the aid of a digital computer ,"Bardy Diagnostics, Inc.","Gust H. Bardy, Jon Mikalson Bishay",2015-10-05,2019-08-26,2020-12-22,2020-12-22,https://patents.google.com/patent/US10869601B2/en,https://patentimages.storage.googleapis.com/d0/ef/4b/1d6e957e623e33/US10869601-20201222-D00000.png
US-10902945-B2,"Data analysis mechanism for generating statistics, reports and measurements for healthcare decisions ","Amino, Inc.","David A. Vivero, Jorge A. Caballero, Abraham M. Othman, Farid Jamshidian, Eithon Michael Galinato Cadag, Abhinav Chowdary Yarlagadda, James Lyon Fingal, Nicholas C. Dunkman, Kunal Dhiren Shah, Willard Kirk Strauser, Michael H. Lin, Mary Audrey Hampden, Sumul Mahendra Shah, Rebecca Ackermann",2015-01-07,2016-01-07,2021-01-26,2021-01-26,https://patents.google.com/patent/US10902945B2/en,https://patentimages.storage.googleapis.com/8f/a8/d9/9a94138c96a0eb/US10902945-20210126-D00000.png
US-10303851-B2,Physician-centric health care delivery platform ,"Md24 Patent Technology, Llc","Linh C. Nguyen, An-Dien Nguyen, Khiem Allen Le",2013-03-15,2014-03-14,2019-05-28,2019-05-28,https://patents.google.com/patent/US10303851B2/en,https://patentimages.storage.googleapis.com/b4/f3/15/96a9ab8d22224b/US10303851-20190528-D00000.png
US-9734290-B2,System and method for evidence based differential analysis and incentives based healthcare policy ,"Neela SRINIVAS, Srinivas Kumar","Neela SRINIVAS, Srinivas Kumar",2011-12-16,2016-03-24,2017-08-15,2017-08-15,https://patents.google.com/patent/US9734290B2/en,https://patentimages.storage.googleapis.com/d0/4c/e8/3abc24ef19db66/US09734290-20170815-D00000.png
US-11264128-B2,Machine-learning framework for coordinating and optimizing healthcare resource utilization and delivery of healthcare services across an integrated healthcare system ,University Hospitals Cleveland Medical Center,"Samuel Brown, Eric Beck",2019-06-28,2019-06-28,2022-03-01,2022-03-01,https://patents.google.com/patent/US11264128B2/en,https://patentimages.storage.googleapis.com/d0/a9/5c/e94624c92669d1/US11264128-20220301-D00000.png
US-8930222-B2,Method and system for managing patient healthcare ,Abbott Laboratories,"Amy L. Rhine-Pallas, Robert J. Padley, Brett M. Hickman, Clifford Bleustein, Refaat A. Hegazi, Sudarshan Hebbar, David K. Spindell, Paul Audhya",2010-08-05,2011-08-05,2015-01-06,2015-01-06,https://patents.google.com/patent/US8930222B2/en,https://patentimages.storage.googleapis.com/67/09/cb/679dcbfd5d4f93/US08930222-20150106-D00000.png
US-9734512-B2,"Rating system, process and algorithmic based medium for treatment of medical conditions in cost effective fashion utilizing best treatment protocols and financial assessment tools for determining a maximum cutoff point for assessing healthcare return on investment and to provide for improved clinical/functional outcomes ",Ali Alhimiri,Ali Alhimiri,2013-09-26,2014-09-24,2017-08-15,2017-08-15,https://patents.google.com/patent/US9734512B2/en,https://patentimages.storage.googleapis.com/ee/8b/f9/1e46d413466f74/US09734512-20170815-D00000.png
